sys_enter_clock_nanosleep,sys_enter_close,sys_enter_epoll_pwait,sys_enter_epoll_wait,sys_enter_fcntl,sys_enter_futex,sys_enter_getegid,sys_enter_geteuid,sys_enter_getrandom,sys_enter_getuid,sys_enter_ioctl,sys_enter_lseek,sys_enter_madvise,sys_enter_mmap,sys_enter_mprotect,sys_enter_nanosleep,sys_enter_newfstat,sys_enter_newfstatat,sys_enter_openat,sys_enter_poll,sys_enter_prctl,sys_enter_pwrite64,sys_enter_read,sys_enter_readlink,sys_enter_recvmsg,sys_enter_rt_sigaction,sys_enter_sendmsg,sys_enter_splice,sys_enter_write,sys_enter_writev,label
0.0,1373.0,267.0,86.0,212.0,1467.0,170.0,171.0,276.0,206.0,44.0,2.0,5.0,217.0,110.0,468.0,1147.0,797.0,1396.0,397.0,273.0,0.0,1215.0,238.0,138.0,385.0,9.0,0.0,263.0,9.0,1
1.0,2799.0,588.0,163.0,435.0,2537.0,339.0,342.0,564.0,373.0,149.0,6.0,44.0,567.0,269.0,768.0,2324.0,1040.0,2851.0,474.0,599.0,0.0,2347.0,478.0,217.0,787.0,60.0,0.0,500.0,11.0,1
0.0,1327.0,290.0,83.0,197.0,1557.0,166.0,167.0,276.0,178.0,44.0,2.0,7.0,217.0,110.0,462.0,1093.0,509.0,1341.0,305.0,269.0,0.0,1094.0,238.0,129.0,385.0,3.0,0.0,219.0,9.0,1
0.0,1347.0,281.0,69.0,195.0,1494.0,166.0,167.0,276.0,196.0,38.0,2.0,5.0,220.0,110.0,503.0,1111.0,717.0,1372.0,377.0,269.0,0.0,1146.0,238.0,132.0,385.0,5.0,0.0,237.0,5.0,1
0.0,1405.0,292.0,108.0,283.0,1677.0,170.0,171.0,305.0,230.0,43.0,4.0,7.0,221.0,152.0,444.0,1144.0,792.0,1405.0,597.0,273.0,2.0,1312.0,238.0,180.0,385.0,34.0,0.0,338.0,5.0,1
1.0,2636.0,690.0,140.0,399.0,2896.0,336.0,338.0,552.0,366.0,54.0,4.0,54.0,441.0,222.0,881.0,2187.0,887.0,2670.0,501.0,542.0,0.0,2186.0,478.0,98.0,770.0,44.0,0.0,495.0,10.0,1
0.0,1354.0,300.0,113.0,229.0,1493.0,166.0,167.0,295.0,190.0,44.0,2.0,5.0,219.0,150.0,445.0,1105.0,733.0,1354.0,448.0,269.0,0.0,1171.0,238.0,157.0,385.0,14.0,0.0,284.0,9.0,1
0.0,1325.0,377.0,72.0,199.0,1530.0,166.0,167.0,276.0,184.0,32.0,2.0,42.0,217.0,110.0,477.0,1092.0,515.0,1342.0,350.0,269.0,0.0,1107.0,238.0,138.0,385.0,10.0,0.0,243.0,5.0,1
0.0,2621.0,534.0,136.0,399.0,2231.0,336.0,338.0,552.0,354.0,52.0,4.0,10.0,441.0,220.0,780.0,2175.0,925.0,2657.0,440.0,542.0,0.0,2109.0,476.0,143.0,770.0,11.0,0.0,415.0,14.0,1
0.0,1379.0,327.0,70.0,210.0,1473.0,170.0,171.0,276.0,218.0,38.0,2.0,18.0,220.0,110.0,387.0,1159.0,645.0,1406.0,409.0,275.0,0.0,1244.0,238.0,138.0,385.0,9.0,0.0,282.0,5.0,1
0.0,1464.0,285.0,97.0,212.0,1507.0,247.0,248.0,292.0,289.0,43.0,2.0,7.0,218.0,110.0,503.0,1237.0,928.0,1508.0,441.0,348.0,0.0,1435.0,298.0,206.0,385.0,65.0,0.0,281.0,5.0,1
0.0,1371.0,311.0,87.0,212.0,1869.0,171.0,172.0,277.0,195.0,48.0,2.0,5.0,220.0,130.0,447.0,1137.0,729.0,1386.0,352.0,273.0,0.0,1183.0,240.0,144.0,385.0,10.0,0.0,261.0,9.0,1
1.0,1363.0,345.0,90.0,227.0,1506.0,166.0,167.0,295.0,208.0,34.0,2.0,39.0,216.0,108.0,477.0,1116.0,651.0,1370.0,404.0,269.0,0.0,1162.0,238.0,148.0,385.0,18.0,0.0,256.0,5.0,1
0.0,2624.0,502.0,138.0,397.0,2233.0,336.0,338.0,552.0,360.0,54.0,4.0,13.0,438.0,222.0,774.0,2181.0,911.0,2659.0,440.0,542.0,0.0,2123.0,476.0,145.0,770.0,11.0,0.0,441.0,14.0,1
0.0,1345.0,300.0,70.0,208.0,1433.0,170.0,171.0,277.0,188.0,39.0,2.0,5.0,223.0,110.0,409.0,1129.0,517.0,1372.0,363.0,273.0,0.0,1177.0,238.0,141.0,385.0,12.0,0.0,263.0,5.0,1
0.0,1361.0,332.0,92.0,255.0,1731.0,169.0,170.0,305.0,205.0,42.0,4.0,34.0,216.0,132.0,410.0,1118.0,762.0,1378.0,554.0,273.0,2.0,1270.0,238.0,177.0,385.0,30.0,0.0,352.0,5.0,1
0.0,1353.0,284.0,72.0,210.0,1550.0,170.0,171.0,276.0,194.0,38.0,2.0,8.0,221.0,114.0,417.0,1135.0,583.0,1378.0,391.0,273.0,0.0,1220.0,238.0,42.0,385.0,36.0,0.0,294.0,5.0,1
0.0,1362.0,285.0,94.0,199.0,1536.0,166.0,167.0,276.0,208.0,44.0,2.0,11.0,218.0,112.0,385.0,1123.0,656.0,1379.0,422.0,269.0,0.0,1194.0,238.0,153.0,385.0,15.0,0.0,267.0,9.0,1
0.0,1334.0,348.0,75.0,199.0,1512.0,167.0,168.0,276.0,191.0,33.0,2.0,33.0,220.0,110.0,408.0,1099.0,745.0,1350.0,333.0,269.0,0.0,1108.0,238.0,143.0,385.0,13.0,0.0,231.0,5.0,1
0.0,1348.0,298.0,85.0,201.0,1477.0,166.0,167.0,276.0,196.0,44.0,2.0,6.0,217.0,110.0,485.0,1111.0,606.0,1362.0,342.0,269.0,0.0,1142.0,238.0,130.0,385.0,5.0,0.0,236.0,9.0,1
0.0,2363.0,512.0,118.0,382.0,2185.0,331.0,333.0,484.0,367.0,46.0,4.0,18.0,435.0,218.0,770.0,1942.0,864.0,2398.0,412.0,537.0,0.0,2024.0,472.0,140.0,770.0,3.0,0.0,381.0,10.0,1
0.0,1488.0,388.0,99.0,707.0,1636.0,166.0,167.0,286.0,190.0,61.0,2.0,19.0,219.0,110.0,685.0,1174.0,742.0,1493.0,397.0,269.0,0.0,1381.0,238.0,166.0,385.0,23.0,0.0,309.0,5.0,1
